"","x"
"1175","CF835552"
"1176","CK934325"
"1177","CV886717"
"1178","CX643923"
"1179","CV707100"
"1180","CK936665"
"1181","DN617611"
"1182","CV710103"
"1183","CV706905"
"1184","CX048147"
"1185","CB290294"
"1186","CX075228"
"1187","CX670106"
"1188","CX671603"
"1189","CK665144"
"1190","CX074990"
"1191","CF508984"
"1192","CF831354"
"1193","AU300781"
"1194","CB291623"
"1195","CF505774"
"1196","CK702046"
"1197","DN617919"
"1198","CX545204"
"1199","CB291637"
"1200","CF836347"
"1201","CX666421"
"1202","CF419934"
"1203","CX077902"
"1204","DN620493"
"1205","DN619572"
"1206","CB610947"
"1207","CX305030"
"1208","CV705279"
"1209","CK935232"
"1210","CX668985"
"1211","CX045232"
"1212","CF507124"
"1213","CF835752"
"1214","CX668750"
"1215","CX544177"
"1216","DN621081"
"1217","CX298288"
"1218","CX673807"
"1219","CX044189"
"1220","CX673881"
"1221","CX669654"
"1222","CV717630"
"1223","CX306567"
"1224","CF831186"
"1225","CX635603"
"1226","CB291572"
"1227","CV704179"
"1228","CX046015"
"1229","CX546470"
"1230","CF833158"
"1231","CV718760"
"1232","CX290799"
"1233","CF509222"
"1234","CX074908"
"1235","DN618626"
"1236","DR403769"
"1237","CV713772"
"1238","DN796846"
"1239","CX667516"
"1240","CX044594"
"1241","CX069929"
"1242","CV716643"
"1243","BQ623682"
"1244","CK939958"
"1245","CK934282"
"1246","CB290571"
"1247","CX291696"
"1248","CX076066"
"1249","CF420079"
"1250","CV707167"
"1251","CX666097"
"1252","CX301947"
"1253","CX636366"
"1254","DN621761"
"1255","CF832245"
"1256","DN799292"
"1257","CX296959"
"1258","CX671207"
"1259","DN619026"
"1260","CX044789"
"1261","CX644171"
"1262","CF837857"
"1263","DN619192"
"1264","CN187201"
"1265","CB304845"
"1266","DN618740"
"1267","DN622189"
"1268","DN797632"
"1269","CX546536"
"1270","CX305234"
"1271","CK933905"
"1272","CX047415"
"1273","CX543191"
"1274","CX306826"
"1275","CV707861"
"1276","DN621708"
"1277","CV885637"
"1278","CN181485"
"1279","CK939266"
"1280","CF508821"
"1281","DN620936"
"1282","CX071629"
"1283","CN182643"
"1284","CX053169"
"1285","CX669684"
"1286","CX299481"
"1287","CX043363"
"1288","CV717649"
"1289","CX669828"
"1290","DN795291"
"1291","AU300374"
"1292","DN958368"
"1293","CV884615"
"1294","CK934861"
"1295","CX635287"
"1296","CX545016"
"1297","CX048147"
"1298","DN799225"
"1299","CF419156"
"1300","CX044619"
"1301","CX674613"
"1302","CX301529"
"1303","CX301262"
"1304","CF831901"
"1305","CX073386"
"1306","CX674730"
"1307","CN185722"
"1308","CN191678"
